"R01_Event","glm"
0,0.0449541547910817
0,0.0220164962729387
0,0.0739158924662287
0,0.00763710094682434
0,0.0274721857103383
0,0.179097767473354
1,0.117614059889925
0,0.0302590024855602
0,0.0560689488156822
0,0.0267552618600084
0,0.0493785981265964
0,0.0395134819314276
0,0.0132306240173963
0,0.063403842051507
0,0.070834223208307
0,0.059653507965957
0,0.0301771366827259
0,0.0883872788691351
0,0.0101764171559247
0,0.103105750726538
0,0.0301771366827259
0,0.0588292454363707
0,0.0781318041051908
0,0.285140386463928
0,0.00591622558659088
0,0.0291610900143857
1,0.0568669354999189
0,0.0434055595120556
0,0.0331932372785695
0,0.0458646292795847
0,0.10411449580116
0,0.0491521233101399
0,0.0110099130297397
0,0.0607089438855328
0,0.0663433410373714
1,0.0367000260391265
0,0.0703445860034496
0,0.0425838505932638
0,0.135411755616977
0,0.260679436785107
0,0.046968922223645
0,0.0308699189821578
0,0.059462259797185
0,0.0666281402578264
0,0.0754035766655371
0,0.0356870946557111
0,0.151662385203031
0,0.0565031120496392
0,0.0705651167033377
0,0.131946980853164
0,0.0688692841123098
0,0.150539268310028
0,0.0455308152138759
0,0.0658582580636589
0,0.07493258599256
0,0.0504169075445203
0,0.089477047770817
0,0.0608104018452916
0,0.0212595886415133
0,0.0904276987177414
0,0.0629375552970833
0,0.0643769872973952
0,0.119042209257565
0,0.15272270582733
0,0.049080491068256
0,0.00687255718324112
1,0.0858289089545859
0,0.0982292054817862
0,0.0525506156190142
0,0.085412069517747
0,0.0775836883058155
1,0.0312276273267632
0,0.0420709155478951
0,0.0719459097696196
0,0.0534644350335818
0,0.0473739752296152
0,0.0671052016745036
0,0.055994566504199
0,0.0295571640871117
0,0.0214878741231056
1,0.172133645659119
0,0.0296843090565016
0,0.0336955894986334
0,0.057612294500096
0,0.0567124884913984
0,0.0689846152674545
0,0.0119936800791609
0,0.00500724922445913
0,0.134543743909353
0,0.019436885337349
0,0.052367375548294
0,0.138232042467511
0,0.0353494688090417
0,0.0779744159253875
0,0.0200920187931419
0,0.0647674222788186
1,0.104793539220471
0,0.0495661775529968
0,0.0738018323408456
1,0.0711321559151312
0,0.0360876390294302
0,0.0705775581449533
1,0.0581455572147752
0,0.071448474992292
0,0.124348306036288
0,0.0910214833939272
0,0.0687761640860582
0,0.07621847164369
0,0.0674712838967167
0,0.090966206956918
0,0.0698277718103096
0,0.0560279990253705
0,0.0324415505704648
0,0.0267774503655157
0,0.0930397423467946
0,0.0653542402508739
0,0.00127215940986162
0,0.074354688034518
0,0.165193976316508
0,0.0854527151049971
0,0.0270528891591649
0,0.0489129018875845
0,0.0220266983555874
0,0.116093021096737
0,0.0645619954246325
0,0.0627042781442537
0,0.143094356093896
0,0.0494634320558109
0,0.0218965913997705
0,0.102215962878336
1,0.10774401492183
0,0.0363006833314187
0,0.0810043269622249
0,0.052325089247042
0,0.0659291642909258
0,0.0647674222788186
0,0.0571274058453917
0,0.049603349779846
0,0.0724986740088285
0,0.0552993911163358
0,0.0612506895204966
0,0.109408252788324
0,0.0338156184171193
0,0.0638142015055416
0,0.0392493053205289
1,0.0667028426619403
0,0.180153278647487
0,0.023237146749372
0,0.047943241683604
0,0.046062290752867
0,0.0505959418857978
0,0.0859200069377522
0,0.0440221172251137
0,0.0273062041788133
0,0.0792125530202257
0,0.0942087738867363
0,0.0947944670928906
0,0.0551704705796897
0,0.15165250121236
0,0.0800213520082394
0,0.0592823316834499
0,0.0304399516042319
0,0.0161089708757949
1,0.0801495885678231
0,0.0954588316731552
0,0.0432896736469887
0,0.0618652064997917
0,0.0352891305804249
1,0.0741743678526498
0,0.024576186786034
0,0.0599921699842093
0,0.0732684375920265
0,0.103623960102487
1,0.0343472724408653
0,0.0640773077054479
0,0.0469375506364729
0,0.0688402539881195
0,0.0932385982938011
0,0.0771450701005419
0,0.150797664693802
0,0.089575551633462
0,0.0751075916062292
0,0.0775596688348529
1,0.144962493472355
0,0.0820652812054961
0,0.0213237227360435
1,0.0566311130538614
0,0.0951121661888545
0,0.0153472733131313
0,0.0814056342168695
0,0.0229560422661567
0,0.0727966543511609
0,0.0224281751169759
0,0.0956222793535807
0,0.0800947264059966
0,0.0319692537540068
0,0.048059664595847
0,0.0733450704846978
0,0.0212494171189127
0,0.0452922036246556
0,0.0491022466390842
0,0.00967421658474262
0,0.0518034225151204
0,0.044054194948499
0,0.0291416829486859
1,0.0646174788933555
0,0.0385260102724942
0,0.127645619590318
0,0.0795445658139258
0,0.0312971497891454
0,0.12064883738455
0,0.0130150612725257
0,0.175126902868852
